book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,image_url,small_image_url
2734,18053060,18053060,25337746,20,62280678,Danielle  Paige,2014.0,"Dorothy Must Die (Dorothy Must Die, #1)",eng,3.84,44785,49019,https://images.gr-assets.com/books/1381437107m/18053060.jpg,https://images.gr-assets.com/books/1381437107s/18053060.jpg
2735,16429,16429,944272,67,553804790,Dean Koontz,2006.0,The Husband,eng,3.8,36233,38254,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2736,7048800,7048800,7299170,45,385501129,Aimee Bender,2010.0,The Particular Sadness of Lemon Cake,eng,3.19,42885,48388,https://images.gr-assets.com/books/1320541766m/7048800.jpg,https://images.gr-assets.com/books/1320541766s/7048800.jpg
2737,6588,6588,1877371,80,446610224,James Patterson,2003.0,"The Big Bad Wolf  (Alex Cross, #9)",en-US,3.97,37060,40235,https://images.gr-assets.com/books/1388328154m/6588.jpg,https://images.gr-assets.com/books/1388328154s/6588.jpg
2738,533465,533465,1482438,45,385722206,"Dai Sijie, Ina Rilke",2000.0,Balzac and the Little Chinese Seamstress,en-US,3.63,39927,43440,https://images.gr-assets.com/books/1403188885m/533465.jpg,https://images.gr-assets.com/books/1403188885s/533465.jpg
2739,18813642,18813642,26563816,25,62282719,Roxane Gay,2014.0,Bad Feminist,eng,3.91,41012,43890,https://images.gr-assets.com/books/1421292744m/18813642.jpg,https://images.gr-assets.com/books/1421292744s/18813642.jpg
2740,226709,226709,3311862,79,671729470,V.C. Andrews,1980.0,"Petals on the Wind (Dollanganger, #2)",en-US,3.82,40354,44314,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2741,6690,6690,824600,125,375814256,"Roald Dahl, Quentin Blake",1975.0,Danny the Champion of the World,,4.07,39802,45049,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2742,9160695,9160695,14039744,49,1594202842,Amy Chua,2011.0,Battle Hymn of the Tiger Mother,eng,3.61,34710,38736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2743,19351043,19351043,27411330,22,,Noelle Stevenson,2015.0,Nimona,eng,4.2,44825,51980,https://images.gr-assets.com/books/1412626919m/19351043.jpg,https://images.gr-assets.com/books/1412626919s/19351043.jpg
2744,1192,1192,5387,4,1400052580,Giada De Laurentiis,2005.0,Everyday Italian: 125 Simple and Delicious Recipes,,3.97,32751,32871,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2745,6537,6537,1455041,108,425204693,Patricia Cornwell,1995.0,"From Potter's Field (Kay Scarpetta, #6)",eng,4.02,41377,43955,https://images.gr-assets.com/books/1309209800m/6537.jpg,https://images.gr-assets.com/books/1309209800s/6537.jpg
2746,84736,84736,3267280,85,446619035,James Patterson,2005.0,"Mary, Mary (Alex Cross, #11)",eng,3.93,36926,39428,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2747,15055,15055,1411520,66,,Jeanette Winterson,1985.0,Oranges Are Not the Only Fruit,eng,3.75,35082,40314,https://images.gr-assets.com/books/1267717580m/15055.jpg,https://images.gr-assets.com/books/1267717580s/15055.jpg
2748,16139641,16139641,21970115,8,,R.K. Lilley,2013.0,"Grounded (Up in the Air, #3)",en-GB,4.29,53089,53385,https://images.gr-assets.com/books/1358701028m/16139641.jpg,https://images.gr-assets.com/books/1358701028s/16139641.jpg
2749,19427193,7977973,7364012,10,8188575704,Ravinder Singh,2007.0,I Too Had a Love Story,eng,3.64,24307,29161,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2750,25051,25051,2208078,31,64401480,"Betty MacDonald, Alexandra Boiger",1947.0,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",eng,4.16,44068,45128,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2751,58962,58962,449499,99,312941919,Michael Connelly,1997.0,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",eng,4.15,34702,40002,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2752,18505796,18505796,26365939,29,62265423,Dan   Harris,2014.0,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",eng,3.93,33969,39748,https://images.gr-assets.com/books/1451446393m/18505796.jpg,https://images.gr-assets.com/books/1451446393s/18505796.jpg
2753,120230,120230,115766,4,1400054346,"Ina Garten, Quentin Bacon",2006.0,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,,4.16,32611,32744,https://images.gr-assets.com/books/1320557161m/120230.jpg,https://images.gr-assets.com/books/1320557161s/120230.jpg
2754,32504,32504,1473598,105,446690449,Michael Connelly,1998.0,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",eng,4.11,34296,37494,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2755,41821,41821,1253407,100,1857989341,Isaac Asimov,1972.0,The Gods Themselves,eng,4.08,35247,39537,https://images.gr-assets.com/books/1351076141m/41821.jpg,https://images.gr-assets.com/books/1351076141s/41821.jpg
2756,6393047,6393047,6581527,25,545060478,Peter Lerangis,2010.0,"The Viper's Nest (39 Clues, #7)",eng,3.97,37663,38140,https://images.gr-assets.com/books/1357211053m/6393047.jpg,https://images.gr-assets.com/books/1357211053s/6393047.jpg
2757,7742,7742,10803,29,60838744,Sena Jeter Naslund,1999.0,"Ahab's Wife, or The Star-Gazer",en-US,4.02,34603,36184,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2758,13570,13570,15710,15,345470575,"CLAMP, Anthony Gerard",2004.0,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 01",eng,4.12,34661,34843,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2759,8962,8962,724928,86,316905712,Darren Shan,2000.0,"A Living Nightmare (Cirque Du Freak, #1)",,4.07,38753,43056,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2760,297627,297627,797,36,1563898586,"Alan Moore, Kevin O'Neill",2000.0,"The League of Extraordinary Gentlemen, Vol. 1",eng,3.93,40404,41818,https://images.gr-assets.com/books/1327894724m/297627.jpg,https://images.gr-assets.com/books/1327894724s/297627.jpg
2761,169756,169756,163928,32,763622591,M.T. Anderson,2002.0,Feed,eng,3.54,42426,44867,https://images.gr-assets.com/books/1327891005m/169756.jpg,https://images.gr-assets.com/books/1327891005s/169756.jpg
2762,3819326,3819326,3863622,38,425226921,Nalini Singh,2009.0,"Angels' Blood (Guild Hunter, #1)",eng,4.12,53738,58508,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2763,752900,752900,2936587,304,486275485,"Euripides, Rex Warner",-431.0,Medea,en-GB,3.83,40237,42957,https://images.gr-assets.com/books/1328868366m/752900.jpg,https://images.gr-assets.com/books/1328868366s/752900.jpg
2764,6342491,6342491,6528619,28,1423118235,Cinda Williams Chima,2009.0,"The Demon King (Seven Realms, #1)",en-US,4.2,46756,49524,https://images.gr-assets.com/books/1379482652m/6342491.jpg,https://images.gr-assets.com/books/1379482652s/6342491.jpg
2765,821056,821056,1128612,83,842314296,Hannah Hurnard,1955.0,Hinds' Feet on High Places,,4.3,33398,35312,https://images.gr-assets.com/books/1312284337m/821056.jpg,https://images.gr-assets.com/books/1312284337s/821056.jpg
2766,38333,38333,2283546,24,037542380X,Charles Burns,1995.0,Black Hole,eng,3.83,33070,34624,https://images.gr-assets.com/books/1327895219m/38333.jpg,https://images.gr-assets.com/books/1327895219s/38333.jpg
2767,19358975,19358975,27422060,22,1607069318,"Brian K. Vaughan, Fiona Staples",2014.0,"Saga, Vol. 3 (Saga, #3)",eng,4.56,47549,49016,https://images.gr-assets.com/books/1486028973m/19358975.jpg,https://images.gr-assets.com/books/1486028973s/19358975.jpg
2768,20263040,20263040,27228790,64,804178747,Lee Child,2014.0,"Personal (Jack Reacher, #19)",eng,3.9,19107,39053,https://images.gr-assets.com/books/1468705564m/20263040.jpg,https://images.gr-assets.com/books/1468705564s/20263040.jpg
2769,15994634,15994634,21763986,32,1250028647,Therese Anne Fowler,2013.0,Z: A Novel of Zelda Fitzgerald,eng,3.82,27563,36787,https://images.gr-assets.com/books/1396815892m/15994634.jpg,https://images.gr-assets.com/books/1396815892s/15994634.jpg
2770,4979,4979,1119459,64,081297736X,Kurt Vonnegut Jr.,2005.0,A Man Without a Country,eng,4.07,29859,32094,https://images.gr-assets.com/books/1330997432m/4979.jpg,https://images.gr-assets.com/books/1330997432s/4979.jpg
2771,17667452,6780660,6982184,25,,Catherine Ryan Hyde,2009.0,When I Found You,en,3.92,16032,32004,https://images.gr-assets.com/books/1377009785m/17667452.jpg,https://images.gr-assets.com/books/1377009785s/17667452.jpg
2772,25893693,25893693,45775594,20,1101883073,Martha Hall Kelly,2016.0,Lilac Girls,eng,4.31,42421,55514,https://images.gr-assets.com/books/1462850258m/25893693.jpg,https://images.gr-assets.com/books/1462850258s/25893693.jpg
2773,552894,552894,2208374,57,316017701,"James Patterson, Maxine Paetro",2008.0,"7th Heaven (Women's Murder Club, #7)",eng,4.06,38503,42493,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2774,23664710,23664710,43272201,48,593073894,Lee Child,2015.0,"Make Me (Jack Reacher, #20)",en-US,3.95,20999,37423,https://images.gr-assets.com/books/1467905395m/23664710.jpg,https://images.gr-assets.com/books/1467905395s/23664710.jpg
2775,18428067,18428067,19926928,49,770436420,Anthony Marra,2013.0,A Constellation of Vital Phenomena,eng,4.13,23374,35300,https://images.gr-assets.com/books/1408313066m/18428067.jpg,https://images.gr-assets.com/books/1408313066s/18428067.jpg
2776,13496738,13496738,19040270,23,,Abbi Glines,2012.0,"While It Lasts (Sea Breeze, #3)",eng,4.24,49620,51999,https://images.gr-assets.com/books/1332261619m/13496738.jpg,https://images.gr-assets.com/books/1332261619s/13496738.jpg
2777,13414676,13414676,18713903,41,307594033,Will Schwalbe,2012.0,The End of Your Life Book Club,eng,3.81,35412,39636,https://images.gr-assets.com/books/1333576665m/13414676.jpg,https://images.gr-assets.com/books/1333576665s/13414676.jpg
2778,1672727,1672727,1667738,17,1416913184,Lauren Barnholdt,2007.0,Two-Way Street,,3.8,42028,42774,https://images.gr-assets.com/books/1381750633m/1672727.jpg,https://images.gr-assets.com/books/1381750633s/1672727.jpg
2779,16001443,16001443,21763059,25,,Raine Miller,2012.0,"All In (The Blackstone Affair, #2)",eng,4.11,48278,50265,https://images.gr-assets.com/books/1358492101m/16001443.jpg,https://images.gr-assets.com/books/1358492101s/16001443.jpg
2780,1814843,1814843,6627899,44,174166134X,John Flanagan,2006.0,"The Siege of Macindaw (Ranger's Apprentice, #6)",eng,4.33,37607,41857,https://images.gr-assets.com/books/1327445821m/1814843.jpg,https://images.gr-assets.com/books/1327445821s/1814843.jpg
2781,49221,49221,894384,87,60652381,C.S. Lewis,1961.0,A Grief Observed,en-US,4.26,35913,38154,https://images.gr-assets.com/books/1412529325m/49221.jpg,https://images.gr-assets.com/books/1412529325s/49221.jpg
2782,22416,22416,23442,13,1563894459,"Warren Ellis, Darick Robertston, Garth Ennis",1998.0,"Transmetropolitan, Vol. 1: Back on the Street (Transmetropolitan, #1)",eng,4.23,30790,34691,https://images.gr-assets.com/books/1320606005m/22416.jpg,https://images.gr-assets.com/books/1320606005s/22416.jpg
2783,13833,13833,3094151,35,1416903372,Tamora Pierce,1994.0,"Emperor Mage (Immortals, #3)",en-US,4.3,44115,47156,https://images.gr-assets.com/books/1166573612m/13833.jpg,https://images.gr-assets.com/books/1166573612s/13833.jpg
2784,8099187,8099187,12842742,39,307590615,George W. Bush,2010.0,Decision Points,eng,3.77,28943,31666,https://images.gr-assets.com/books/1320428975m/8099187.jpg,https://images.gr-assets.com/books/1320428975s/8099187.jpg
2785,6387565,6387565,6575836,67,,"James Patterson, Gabrielle Charbonnet",2009.0,"Witch & Wizard (Witch & Wizard, #1)",eng,3.57,28291,47545,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2786,386286,386286,778444,71,64400581,"Jean Craighead George, John Schoenherr",1972.0,"Julie of the Wolves (Julie of the Wolves, #1)",eng,3.79,46442,47637,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2787,37743,37743,746503,47,033039780X,Judy Blume,1975.0,Forever . . .,eng,3.63,42164,46688,https://images.gr-assets.com/books/1327962165m/37743.jpg,https://images.gr-assets.com/books/1327962165s/37743.jpg
2788,22609391,22609391,42099162,30,1476728747,David McCullough,2015.0,The Wright Brothers,eng,4.16,35786,41469,https://images.gr-assets.com/books/1430942575m/22609391.jpg,https://images.gr-assets.com/books/1430942575s/22609391.jpg
2789,31231,31231,2254814,67,752858556,Robert Ludlum,1979.0,The Matarese Circle (Matarese #1),,4.03,32016,33144,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2790,3147367,3147367,3178858,17,1400063256,Jon Meacham,2008.0,American Lion: Andrew Jackson in the White House,en-US,3.76,32564,33439,https://images.gr-assets.com/books/1320480904m/3147367.jpg,https://images.gr-assets.com/books/1320480904s/3147367.jpg
2791,15842230,15842230,21412154,45,446573051,David Baldacci,2012.0,"The Forgotten (John Puller, #2)",eng,4.07,27953,37559,https://images.gr-assets.com/books/1350923777m/15842230.jpg,https://images.gr-assets.com/books/1350923777s/15842230.jpg
2792,16065004,16065004,21855448,25,765378558,Brandon Sanderson,2015.0,"Shadows of Self (Mistborn, #5)",eng,4.3,32170,40479,https://images.gr-assets.com/books/1435053013m/16065004.jpg,https://images.gr-assets.com/books/1435053013s/16065004.jpg
2793,17262155,17262155,23858953,89,345807952,Helen Fielding,2013.0,"Mad About the Boy (Bridget Jones, #3)",eng,3.32,30713,39587,https://images.gr-assets.com/books/1374883586m/17262155.jpg,https://images.gr-assets.com/books/1374883586s/17262155.jpg
2794,30633,30633,14816053,85,6280897,C.S. Lewis,1960.0,The Four Loves,en-US,4.16,29684,32510,https://images.gr-assets.com/books/1276287504m/30633.jpg,https://images.gr-assets.com/books/1276287504s/30633.jpg
2795,20639274,32822135,26343327,41,,Mia Sheridan,2014.0,Archer's Voice,eng,4.45,53131,60020,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2796,11010251,11010251,15929266,39,042524413X,Alyson Richman,2011.0,The Lost Wife,eng,4.2,33427,35931,https://images.gr-assets.com/books/1394994929m/11010251.jpg,https://images.gr-assets.com/books/1394994929s/11010251.jpg
2797,10505,10505,2094829,50,847826465,"Umberto Eco, Girolamo De Michele, Alastair McEwen",2004.0,History of Beauty,eng,3.77,33893,34445,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2798,18765,18765,4232388,152,067972477X,Robert Graves,1934.0,"I, Claudius (Claudius, #1)",eng,4.27,38484,41903,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2799,13326831,13326831,18534001,42,547959109,Joelle Charbonneau,2013.0,"The Testing (The Testing, #1)",eng,4.05,38142,42840,https://images.gr-assets.com/books/1363452191m/13326831.jpg,https://images.gr-assets.com/books/1363452191s/13326831.jpg
2800,17908462,17908462,25092132,27,345542886,Janet Evanovich,2013.0,"Takedown Twenty (Stephanie Plum, #20)",en-US,3.75,36002,45765,https://images.gr-assets.com/books/1373758461m/17908462.jpg,https://images.gr-assets.com/books/1373758461s/17908462.jpg
2801,13628209,13628209,19234450,17,1469984016,Kirsty Moseley,2011.0,The Boy Who Sneaks in My Bedroom Window,en-GB,3.95,50929,55355,https://images.gr-assets.com/books/1398682775m/13628209.jpg,https://images.gr-assets.com/books/1398682775s/13628209.jpg
2802,13829,13829,3056999,23,037581468X,Tamora Pierce,2006.0,"Terrier (Beka Cooper, #1)",eng,4.16,48028,49845,https://images.gr-assets.com/books/1398029898m/13829.jpg,https://images.gr-assets.com/books/1398029898s/13829.jpg
2803,8788554,8788554,13662358,41,312662750,Darynda Jones,2011.0,"First Grave on the Right (Charley Davidson, #1)",en-US,4.07,50689,57415,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2804,18039963,18039963,21979139,28,1451651694,"Amanda Lindhout, Sara Corbett",2013.0,A House in the Sky,eng,4.2,29369,33140,https://images.gr-assets.com/books/1370379455m/18039963.jpg,https://images.gr-assets.com/books/1370379455s/18039963.jpg
2805,9615347,9615347,14279456,18,1596437138,Vera Brosgol,2011.0,Anya's Ghost,eng,3.88,39477,42209,https://images.gr-assets.com/books/1316739317m/9615347.jpg,https://images.gr-assets.com/books/1316739317s/9615347.jpg
2806,9912,9912,814440,68,067978148X,Bret Easton Ellis,1987.0,The Rules of Attraction,eng,3.71,29456,32395,https://images.gr-assets.com/books/1468426907m/9912.jpg,https://images.gr-assets.com/books/1468426907s/9912.jpg
2807,30262,30262,2756601,47,60572973,Kim Harrison,2005.0,"The Good, the Bad, and the Undead (The Hollows, #2)",en-US,4.26,49321,52969,https://images.gr-assets.com/books/1391023304m/30262.jpg,https://images.gr-assets.com/books/1391023304s/30262.jpg
2808,66693,66693,66280,44,786942460,R.A. Salvatore,1988.0,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",eng,4.13,32300,35843,https://images.gr-assets.com/books/1331146192m/66693.jpg,https://images.gr-assets.com/books/1331146192s/66693.jpg
2809,44597,25622780,142647,97,140274219,Jean Rhys,1966.0,Wide Sargasso Sea,eng,3.56,21053,45338,https://images.gr-assets.com/books/1327870846m/44597.jpg,https://images.gr-assets.com/books/1327870846s/44597.jpg
2810,16286,16286,1816475,94,316296198,John Fowles,1965.0,The Magus,en-US,4.04,32914,37237,https://images.gr-assets.com/books/1441323311m/16286.jpg,https://images.gr-assets.com/books/1441323311s/16286.jpg
2811,189811,189811,1458832,46,552148032,David Eddings,1988.0,"King of the Murgos (The Malloreon, #2)",en-GB,4.1,40098,43122,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2812,402014,402014,171330,54,60288132,Louise Rennison,2000.0,"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson, #2)",,3.96,39114,42692,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2813,20821614,20821614,39913517,45,1476785597,Caroline Kepnes,2014.0,"You (You, #1)",eng,3.83,36383,43868,https://images.gr-assets.com/books/1411958102m/20821614.jpg,https://images.gr-assets.com/books/1411958102s/20821614.jpg
2814,13618440,13618440,19221595,67,316134074,Laini Taylor,2014.0,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",eng,4.23,47315,56702,https://images.gr-assets.com/books/1461353810m/13618440.jpg,https://images.gr-assets.com/books/1461353810s/13618440.jpg
2815,1205297,1205297,3090264,66,385525001,John Grisham,2007.0,Playing for Pizza,en-US,3.41,34577,36850,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2816,9284655,9284655,7156226,50,1402784031,Colleen Houck,2011.0,"Tiger's Curse (The Tiger Saga, #1)",eng,4.07,46077,48734,https://images.gr-assets.com/books/1327878915m/9284655.jpg,https://images.gr-assets.com/books/1327878915s/9284655.jpg
2817,105,105,3634569,72,441102670,Frank Herbert,1985.0,Chapterhouse: Dune (Dune Chronicles #6),eng,3.89,34822,37155,https://images.gr-assets.com/books/1260954505m/105.jpg,https://images.gr-assets.com/books/1260954505s/105.jpg
2818,20821284,20821284,39959105,17,399252517,Jacqueline Woodson,2014.0,Brown Girl Dreaming,eng,4.11,33779,37633,https://images.gr-assets.com/books/1424308405m/20821284.jpg,https://images.gr-assets.com/books/1424308405s/20821284.jpg
2819,7094569,7094569,7351419,28,316081051,Mira Grant,2010.0,"Feed (Newsflesh Trilogy, #1)",en-US,3.86,38956,41899,https://images.gr-assets.com/books/1408500437m/7094569.jpg,https://images.gr-assets.com/books/1408500437s/7094569.jpg
2820,3476,3476,1004778,27,142000205,Gwyn Hyman Rubio,1998.0,Icy Sparks,eng,3.68,34128,34951,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2821,77394,77394,1133797,6,553213180,L.M. Montgomery,1917.0,"Anne's House of Dreams (Anne of Green Gables, #5)",eng,4.12,57062,60826,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2822,75024,75024,1703824,68,345476166,Steve Berry,2006.0,"The Templar Legacy (Cotton Malone, #1)",en-US,3.81,35804,39121,https://images.gr-assets.com/books/1413393638m/75024.jpg,https://images.gr-assets.com/books/1413393638s/75024.jpg
2823,89165,89165,1300421,55,449000656,Sue Grafton,1993.0,"J is for Judgment (Kinsey Millhone, #10)",eng,4.01,39214,41729,https://images.gr-assets.com/books/1315138239m/89165.jpg,https://images.gr-assets.com/books/1315138239s/89165.jpg
2824,4836308,4836308,4901516,68,1401340903,Katherine Howe,2009.0,The Physick Book of Deliverance Dane,en-US,3.7,41284,45352,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2825,55401,55401,3898716,54,765310023,Steven Erikson,2000.0,"Deadhouse Gates (The Malazan Book of the Fallen, #2)",eng,4.25,34042,39031,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2826,17983690,17983690,25216800,42,1743342373,Kylie Scott,2013.0,"Lick (Stage Dive, #1)",eng,4.15,54585,64019,https://images.gr-assets.com/books/1421855031m/17983690.jpg,https://images.gr-assets.com/books/1421855031s/17983690.jpg
2827,78982,78982,1952681,80,312997132,Jeffrey Archer,1976.0,"Not a Penny More, Not a Penny Less",,4.0,28853,31207,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2828,2315892,2315892,2322406,63,575082453,Joe Abercrombie,2009.0,Best Served Cold,eng,4.16,36268,41201,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2829,18635113,18635113,24946905,66,62309668,Emma Healey,2014.0,Elizabeth Is Missing,eng,3.7,26931,38225,https://images.gr-assets.com/books/1388883559m/18635113.jpg,https://images.gr-assets.com/books/1388883559s/18635113.jpg
2830,154424,154424,2874081,42,1416505016,Vince Flynn,2005.0,"Consent to Kill (Mitch Rapp, #8)",en-US,4.36,30675,33651,https://images.gr-assets.com/books/1403880384m/154424.jpg,https://images.gr-assets.com/books/1403880384s/154424.jpg
2831,8171378,8171378,13341052,26,679444327,Isabel Wilkerson,2010.0,The Warmth of Other Suns: The Epic Story of America's Great Migration,eng,4.31,31308,34610,https://images.gr-assets.com/books/1433354252m/8171378.jpg,https://images.gr-assets.com/books/1433354252s/8171378.jpg
2832,20706317,20706317,25807847,51,316399620,Claire North,2014.0,The First Fifteen Lives of Harry August,eng,4.04,22327,36973,https://images.gr-assets.com/books/1407712314m/20706317.jpg,https://images.gr-assets.com/books/1407712314s/20706317.jpg
2833,13623012,13623012,18067409,116,62206281,Carlos Ruiz Zafón,2011.0,"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)",,3.96,27987,40395,https://images.gr-assets.com/books/1335994402m/13623012.jpg,https://images.gr-assets.com/books/1335994402s/13623012.jpg
2834,11366,11366,1884932,68,345476093,"Barbara W. Tuchman, Robert K. Massie",1962.0,The Guns of August,eng,4.18,35147,37695,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2835,937249,937249,978952,48,671047345,Vince Flynn,2001.0,"Separation of Power (Mitch Rapp, #5)",en-US,4.32,30081,33186,https://images.gr-assets.com/books/1314830847m/937249.jpg,https://images.gr-assets.com/books/1314830847s/937249.jpg
2836,71865,71865,1253352,78,439829100,John Marsden,1993.0,"Tomorrow, When the War Began (Tomorrow, #1)",en-US,4.05,36501,40883,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
